name,steam_appid,genres,release_date
Codename: Panzers - Cold War,9850,"['Strategy', 'Simulation']",2009-05-06 00:00:00
Blade Kitten,9940,"['Action', 'Adventure']",2014-05-22 00:00:00
Haunted House™,9960,['Adventure'],2010-09-28 00:00:00
Star Raiders,9970,['Action'],2011-05-11 00:00:00
Star Raiders,9970,['Action'],2011-05-11 00:00:00
The UnderGarden,9980,['Casual'],2010-11-10 00:00:00
Call of Duty: World at War,10090,['Action'],2008-11-18 00:00:00
King's Quest™ Collection,10100,['Adventure'],2009-07-23 00:00:00
Space Quest™ Collection,10110,['Adventure'],2009-07-23 00:00:00
Aces of the Galaxy™,10120,"['Action', 'Casual']",2009-07-23 00:00:00
TimeShift™,10130,['Action'],2009-07-23 00:00:00
3D Ultra™ Minigolf Adventures,10140,['Sports'],2009-07-23 00:00:00
Prototype™,10150,"['Action', 'Adventure']",2009-06-12 00:00:00
Call of Duty®: Modern Warfare® 2,10180,['Action'],2009-11-11 00:00:00
Postal III,10220,['Action'],2012-02-17 00:00:00
Dead Mountaineer's Hotel,10230,['Adventure'],2011-10-28 00:00:00
A Stroke of Fate: Operation Valkyrie,10240,['Adventure'],2011-10-28 00:00:00
PT Boats: South Gambit,10260,['Simulation'],2011-10-28 00:00:00
Disciples III: Reincarnation,10270,"['RPG', 'Strategy']",2014-02-14 00:00:00
The Club™,10460,['Action'],2008-02-20 00:00:00
Total War: EMPIRE – Definitive Edition,10500,['Strategy'],2009-03-04 00:00:00
Aliens vs. Predator™,10680,['Action'],2010-02-16 00:00:00
Sherlock Holmes - Nemesis,11040,"['RPG', 'Adventure']",2008-08-07 00:00:00
Dracula: Origin,11050,"['Casual', 'Adventure']",2008-08-07 00:00:00
Sherlock Holmes: The Awakened - Remastered Edition,11140,['Adventure'],2009-08-06 00:00:00
Sherlock Holmes: The Silver Earring,11150,['Adventure'],2009-08-06 00:00:00
Sherlock Holmes: The Mystery of the Persian Carpet,11180,"['Casual', 'Adventure']",
Sherlock Holmes versus Jack the Ripper,11190,"['RPG', 'Adventure']",2009-12-23 00:00:00
Shadowgrounds Survivor,11200,['Action'],2007-11-14 00:00:00
Gumboy Tournament,11230,"['Indie', 'Casual', 'Racing']",2008-05-19 00:00:00
Space Trader: Merchant Marine,11240,"['Action', 'Indie', 'Strategy']",2008-10-23 00:00:00
Pacific Storm,11250,"['Strategy', 'Simulation']",2008-06-24 00:00:00
Pacific Storm Allies,11260,"['Strategy', 'Simulation']",2008-08-18 00:00:00
Penguins Arena: Sedna's World,11280,"['Action', 'Indie', 'Casual']",2008-12-18 00:00:00
Larva Mortus,11340,"['Action', 'Indie']",2009-03-19 00:00:00
Chains,11360,['Indie'],2009-07-01 00:00:00
Nikopol: Secrets of the Immortals,11370,"['Indie', 'Adventure']",2009-07-30 00:00:00
Crash Time 2,11390,"['Action', 'Simulation', 'Racing']",2009-08-27 00:00:00
Overlord™,11450,['RPG'],2009-11-12 00:00:00
Soldiers: Heroes of World War II,11480,['Strategy'],2014-07-03 00:00:00
Second Sight,11550,['Action'],2021-04-08 00:00:00
Maelstrom: The Battle for Earth Begins,11560,['Strategy'],2009-02-13 00:00:00
Hospital Tycoon,11590,['Simulation'],2009-02-13 00:00:00
Max Payne,12140,['Action'],2008-01-04 00:00:00
Max Payne 2: The Fall of Max Payne,12150,['Action'],2008-01-04 00:00:00
Bully: Scholarship Edition,12200,"['Action', 'Adventure']",2010-12-23 00:00:00
Grand Theft Auto IV: The Complete Edition,12210,"['Action', 'Adventure']",2020-03-24 00:00:00
Sacred Gold,12320,"['RPG', 'Action']",2008-07-09 00:00:00
Darkstar One,12330,['Action'],2008-02-13 00:00:00
Jack Keane,12340,['Adventure'],2008-06-27 00:00:00
FlatOut: Ultimate Carnage,12360,['Racing'],2008-08-26 00:00:00
Jagged Alliance 2 Gold,1620,['Strategy'],2006-07-06 00:00:00
Jagged Alliance 2 Gold,1620,['Strategy'],2006-07-06 00:00:00
Exodus from the Earth ,12390,['Action'],2008-10-24 00:00:00
Perimeter 2: New Earth,12420,['Strategy'],2009-02-10 00:00:00
SlamIt Pinball Big Score,12430,['Casual'],2009-02-23 00:00:00
Ankh 2: Heart of Osiris ,12440,['Adventure'],2009-06-16 00:00:00
Ankh 3: Battle of the Gods,12450,['Adventure'],2009-06-16 00:00:00
BC Kings,12460,['Strategy'],2009-06-16 00:00:00
Port Royale 2,12470,['Strategy'],2009-06-16 00:00:00
9th Company: Roots Of Terror,12480,['Strategy'],2009-12-03 00:00:00
PuzzleQuest: Challenge of the Warlords,12500,['Casual'],2008-01-29 00:00:00
Prison Tycoon 3™: Lockdown,12510,['Strategy'],2008-01-29 00:00:00
18 Wheels of Steel: American Long Haul,12520,['Racing'],2008-01-29 00:00:00
Hunting Unlimited™ 2008,12530,"['Action', 'Strategy', 'Adventure']",2008-01-29 00:00:00
Mahjongg Investigations: Under Suspicion,12540,['Casual'],2008-07-29 00:00:00
Ride! Carnival Tycoon,12560,['Simulation'],2008-07-29 00:00:00
Sprint Cars Road to Knoxville,12590,['Racing'],2008-07-29 00:00:00
Sprint Cars Road to Knoxville,12590,['Racing'],2008-07-29 00:00:00
Midnight Outlaw: 6 Hours to SunUp,12600,['Racing'],2008-07-29 00:00:00
Drakensang,12640,['RPG'],2009-03-09 00:00:00
Mission Runway,12670,['Simulation'],2009-07-17 00:00:00
Hunting Unlimited 2010,12690,"['Simulation', 'Sports']",2009-07-07 00:00:00
Overlord™: Raising Hell,12710,['RPG'],2009-11-12 00:00:00
Rise of the Argonauts,12770,['RPG'],2009-01-07 00:00:00
Damnation,12790,"['Action', 'Adventure']",2009-05-22 00:00:00
Overlord II,12810,['RPG'],2009-06-24 00:00:00
Operation Flashpoint: Dragon Rising,12830,['Action'],2009-10-07 00:00:00
AudioSurf,12900,['Indie'],2008-02-15 00:00:00
Unreal 2: The Awakening,13200,['Action'],2008-03-17 00:00:00
Unreal Tournament 3 Black,13210,['Action'],2009-03-05 00:00:00
Unreal Tournament 2004: Editor's Choice Edition,13230,['Action'],2004-03-17 00:00:00
Unreal Tournament: Game of the Year Edition,13240,['Action'],2008-03-17 00:00:00
Unreal Gold,13250,['Action'],2008-03-17 00:00:00
